distribution,sample_size_mode,num_studies,average_group_n,heterogeneity_ratio,true_i2,method,point_bias_pct,point_mse_pct,variance_bias_pct,variance_mse_pct,coverage_z,average_width_z,coverage_t,average_width_t,fail_rate
log_normal,fixed,30,300,3,0.75,QE-RE,0.159754968133303,0.707530132111875,1.79511855601076,7.25550162540047,0.953,4.23172124165956,0.957,4.41581671344629,0
log_normal,fixed,30,300,3,0.75,QE-FE,-3.57454078552356,0.865643855043042,-75.020332088099,56.2970321408095,0.624,2.11366108951708,0.645,2.20561313769105,0
log_normal,varying,10,100,0,0,DiVE,4.18599416885743,1.9879437804616,5.34405985911963,44.0413655363718,0.886,6.22983488439751,0.923,7.19036967921486,0
log_normal,varying,10,100,0,0,QE-RE,-6.3136434013445,2.13544147732688,14.3618304305525,17.7900760558704,0.902,6.70608443114259,0.937,7.74004882227402,0
log_normal,varying,10,100,0,0,QE-FE,-8.23914439868889,2.46066589304734,-6.32005056175207,2.61637959601424,0.85,6.12269000942318,0.902,7.0667048831818,0
log_normal,varying,10,100,0.3333,0.249981249531238,DiVE,3.77317317587891,2.52005317797327,6.7335315869749,43.1360853860744,0.915,7.47876351095421,0.944,8.63186190084463,0
log_normal,varying,10,100,0.3333,0.249981249531238,QE-RE,-5.4136873032365,2.57287221195787,3.18564947072939,19.8023965342954,0.909,7.44785557237474,0.946,8.59618848276328,0
log_normal,varying,10,100,0.3333,0.249981249531238,QE-FE,-8.95776996382153,3.264649116717,-33.6233090713175,12.4550740856751,0.794,6.12065682504317,0.859,7.06435821628139,0
log_normal,varying,10,100,1,0.5,DiVE,4.45316613355922,3.85331764470539,0.607838988455707,38.4374246831766,0.911,9.13215102946737,0.946,10.5401737103412,0
log_normal,varying,10,100,1,0.5,QE-RE,-2.59594719441213,3.57969410735757,-3.88260442653568,20.7359951763118,0.927,8.82403776403703,0.948,10.1845546092535,0
log_normal,varying,10,100,1,0.5,QE-FE,-7.9399794031251,4.53885092625574,-58.1449568912576,34.2386108876594,0.746,6.12655495233295,0.796,7.07116573468524,0
log_normal,varying,10,100,3,0.75,DiVE,4.37100059117629,7.47716256944382,-0.811050381261497,47.5219949153976,0.91,13.0661227166821,0.946,15.0806970570324,0
log_normal,varying,10,100,3,0.75,QE-RE,0.278333751209699,6.34075443314987,-1.28098526207367,27.7268223104516,0.923,12.515389497801,0.952,14.4450501238694,0
log_normal,varying,10,100,3,0.75,QE-FE,-8.80786430764561,9.11382927688429,-80.0865161745129,64.258568292811,0.59,6.12600395373566,0.658,7.07052978145683,0
log_normal,varying,10,300,0,0,DiVE,1.75067335659211,0.587627792052459,2.38019579294161,53.1411125685353,0.896,3.51357099164042,0.928,4.05530399968273,0
log_normal,varying,10,300,0,0,QE-RE,-2.24345727810591,0.61259406492634,25.1047769284518,26.5524856073491,0.951,4.0459668606962,0.971,4.66978627493297,0
